"Type","Order","name","abbrev","file","audio"
"book_name",1,"1st Nephi","1Ne","1nephi","bom1nephi"
"book_name",2,"2nd Nephi","2Ne","2nephi","bom2nephi"
"book_name",3,"Jacob","Jacob","jacob","bomjacob"
"book_name",4,"Enos","Enos","enos","bomenos"
"book_name",5,"Jarom","Jarom","jarom","bomjarom"
"book_name",6,"Omni","Omni","omni","bomomni"
"book_name",7,"Words of Mormon","WMor","wordsofmormon","bomwordsofmormon"
"book_name",8,"Mosiah","Mos","mosiah","bommosiah"
"book_name",9,"Alma","Alm","alma","bomalma"
"book_name",10,"Helaman","Hel","helaman","bomhelaman"
"book_name",11,"3rd Nephi","3Ne","3nephi","bom3nephi"
"book_name",12,"4th Nephi","4Ne","4nephi","bom4nephi"
"book_name",13,"Mormon","Mor","mormon","bommormon"
"book_name",14,"Ether","Eth","ether","bomether"
"book_name",15,"Moroni","Mni","moroni","bommoroni"
